PESEL;PYT1;PYT2;PYT3;PYT4;PYT5;PYT6 
99073036416;3;1;2;6;3;3
03212921372;4;6;6;3;1;4
89060138869;1;1;2;4;5;3
99052585834;5;1;1;1;3;6
99112676692;4;5;5;6;3;4
37102462791;4;3;5;6;1;3
36011146592;1;2;3;1;3;2
34080991974;4;1;5;4;5;2
41071326712;3;4;1;5;3;3
42052983423;5;5;2;2;6;4
59022066194;2;6;6;1;4;2
85091299821;2;2;1;2;2;4
40041927357;4;3;5;5;5;2
04311479746;2;3;3;4;6;2
35082714431;2;1;4;3;2;4
95022294315;1;2;1;2;6;4
61072698935;1;6;3;3;3;3
74041963428;6;2;1;1;4;5
63101467918;4;1;5;5;6;3
56121872567;5;5;2;5;6;6
04282117267;4;4;3;1;2;6
42042785321;5;4;2;1;2;6
48041017579;5;6;3;5;3;6
82083181386;2;3;1;3;4;2
69082093492;6;3;3;1;2;1
81051928482;4;5;6;1;5;2
46043074578;4;2;6;5;2;6
68022117564;4;1;1;3;6;6
85020219692;3;3;5;6;6;6
49081135977;6;2;3;5;4;3
58071374423;3;3;1;6;5;5
37112273389;2;4;4;4;6;4
37022446156;5;5;5;3;2;4
88081094785;2;1;4;3;5;5
64122187713;5;6;2;5;5;3
84113038176;3;4;1;4;6;2
65011744714;4;4;2;5;4;4
03311272175;5;6;1;4;1;1
34100958783;1;3;6;4;3;2
01252278276;6;4;6;6;5;2
88010225899;6;1;5;4;5;4
83112685921;4;6;4;1;6;6
03291555314;3;3;5;4;4;5
84052939684;2;6;4;5;4;6
90080474927;2;2;4;2;5;3
73091971984;2;6;2;3;5;3
77092115721;6;5;6;5;4;5
85070394426;3;3;1;3;1;2
56030579395;5;5;3;3;6;4
50021854285;3;6;2;5;6;2
75110174363;4;1;3;2;2;6
70121329942;2;3;1;1;2;6
41042441983;1;3;6;3;1;5
31062745448;3;4;1;6;2;5
81062577457;4;5;6;2;3;6
56041781257;6;1;3;3;1;2
01282685567;5;4;2;6;5;3
77021656419;5;2;1;1;3;4
32081027223;6;1;4;1;3;5
92061811918;6;6;5;2;2;4
93012698893;4;1;1;6;4;2
46112421234;1;3;6;2;1;1
99071069441;3;1;3;5;2;5
89022586314;6;3;1;4;2;6
02281676525;4;2;3;1;4;4
85030155915;4;4;5;2;5;3
64072276893;3;3;2;5;4;5
97110365442;3;5;6;3;1;6
74042616912;4;5;6;5;3;2
87051042887;2;2;4;4;4;2
47032988278;5;1;3;6;4;4
61042946943;1;4;2;2;2;1
79120199592;5;5;4;3;6;5
35062659835;4;3;1;3;3;3
01320739555;5;5;1;5;5;1
03240144165;2;4;6;4;4;1
62011474445;3;5;3;2;6;6
38090644895;4;1;4;1;1;2
